seed,row,column,method,iter,time,of,feseable
9,6,6,solver,20,7.936143875,35699,1
10,6,6,solver,20,5.265132427,32610,1
11,6,6,solver,20,2.256688356,49682,1
12,6,6,solver,20,2.641038895,38181,1
13,6,6,solver,20,5.145332098,32130,1
14,6,6,solver,20,1.947275639,30130,1
15,6,6,solver,20,0.430690765,32192,1
16,6,6,solver,20,2.202935457,33630,1
17,6,6,solver,20,22.61719346,42412,1
18,6,6,solver,20,9.414216995,35612,1
19,6,6,solver,20,40.64073563,50043,1
20,6,6,solver,20,4.452625513,32221,1
21,6,6,solver,20,26.73529458,49160,1
22,6,6,solver,20,4.077976227,36813,1
23,6,6,solver,20,5.913440704,31450,1
24,6,6,solver,20,11.86824942,39501,1
25,6,6,solver,20,13.91328621,33281,1
26,6,6,solver,20,13.58044171,40477,1
27,6,6,solver,20,18.97417927,42858,1
28,6,6,solver,20,7.36625886,42935,1
29,6,6,solver,20,20.40800476,37927,1
